Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-12-09,-0.00403150632149718,0,0,0,-1.0,1.0,0,0,0,0
2010-12-10,0.004893115558597505,0,0,0,-1.0,1.0,0,0,0,0
2010-12-13,-0.00029589935767238007,0,0,0,-1.0,1.0,0,0,0,0
2010-12-14,0.008251464550609322,0,0,0,-1.0,1.0,0,0,0,0
2010-12-15,0.001018287856056066,0,0,0,-1.0,1.0,0,0,0,0
2010-12-16,-0.012579499504059677,0,0,0,-1.0,1.0,0,0,0,0
2010-12-17,0.003963827843024292,0,0,0,-1.0,1.0,0,0,0,0
2010-12-20,0.0052770533542709774,0,0,0,-1.0,1.0,0,0,0,0
2010-12-21,0.010275525012648612,0,0,0,-1.0,1.0,0,0,0,0
2010-12-22,0.003478184665968942,0,0,0,-1.0,1.0,0,0,0,0
2010-12-23,-0.0021234998391480575,0,0,0,-1.0,1.0,0,0,0,0
2010-12-24,0.0018152599958989324,0,0,0,-1.0,1.0,0,0,0,0
2010-12-27,-0.003372585308502929,0,0,0,-1.0,1.0,0,0,0,0
2010-12-28,0.001194342331950038,0,0,0,-1.0,1.0,0,0,0,0
2010-12-29,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-12-30,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-12-31,0.0,0,0,0,0.0,0.0,0,0,0,0
2011-01-03,-0.0,0,0,0,0.0,0.0,0,0,0,0
2011-01-04,0.0,0,0,0,0.0,0.0,0,0,0,0
2011-01-05,0.0,0,0,0,0.0,0.0,0,0,0,0
2011-01-06,0.0,0,0,0,0.0,0.0,0,0,0,0
2011-01-07,-0.0058957634898810785,0,0,0,-1.0,1.0,0,0,0,0
2011-01-10,-0.003529563357093757,0,0,0,-1.0,1.0,0,0,0,0
2011-01-11,0.00030893382549912474,0,0,0,-1.0,1.0,0,0,0,0
2011-01-12,-0.016188075556088033,0,0,0,-1.0,1.0,0,0,0,0
2011-01-13,0.010852589115067257,0,0,0,-1.0,1.0,0,0,0,0
2011-01-14,0.0050562590705166555,0,0,0,-1.0,1.0,0,0,0,0
2011-01-17,-0.008994389573595551,0,0,0,-1.0,1.0,0,0,0,0
2011-01-18,0.001837826457892322,0,0,0,-1.0,1.0,0,0,0,0
2011-01-19,0.009729634116055652,0,0,0,-1.0,1.0,0,0,0,0
2011-01-20,0.0023970782342583874,0,0,0,-1.0,1.0,0,0,0,0
2011-01-21,-0.009527583425750663,0,0,0,-1.0,1.0,0,0,0,0
2011-01-24,0.00023553203876947038,0,0,0,-1.0,1.0,0,0,0,0
2011-01-25,0.008076169258659838,0,0,0,-1.0,1.0,0,0,0,0
2011-01-26,0.0009678180131205139,0,0,0,-1.0,1.0,0,0,0,0
2011-01-27,0.0017629857737657684,0,0,0,-1.0,1.0,0,0,0,0
2011-01-28,-0.008579603694280458,0,0,0,-1.0,1.0,0,0,0,0
2011-01-31,0.004362025261777536,0,0,0,-1.0,1.0,0,0,0,0
2011-02-01,0.007676580473073735,0,0,0,-1.0,1.0,0,0,0,0
2011-02-02,0.003823803135366788,0,0,0,-1.0,1.0,0,0,0,0
2011-02-03,-0.002211003948135226,0,0,0,-1.0,1.0,0,0,0,0
2011-02-04,0.006305765871574609,0,0,0,-1.0,1.0,0,0,0,0
2011-02-07,-0.005319268699092494,0,0,0,-1.0,1.0,0,0,0,0
2011-02-08,0.0034227374091887475,0,0,0,-1.0,1.0,0,0,0,0
2011-02-09,0.006529165711427254,0,0,0,-1.0,1.0,0,0,0,0
2011-02-10,-0.005173504950936825,0,0,0,-1.0,1.0,0,0,0,0
2011-02-11,-0.007559248554115605,0,0,0,-1.0,1.0,0,0,0,0
2011-02-14,-0.008646859597571943,0,0,0,-1.0,1.0,0,0,0,0
2011-02-15,0.0030437151815289054,0,0,0,-1.0,1.0,0,0,0,0
2011-02-16,-0.004901021206955236,0,0,0,-1.0,1.0,0,0,0,0
2011-02-17,0.0006409248264138689,0,0,0,-1.0,1.0,0,0,0,0
2011-02-18,0.008549450722092233,0,0,0,-1.0,1.0,0,0,0,0
2011-02-21,0.003466625240883814,0,0,0,-1.0,1.0,0,0,0,0
2011-02-22,-0.008239326266536118,0,0,0,-1.0,1.0,0,0,0,0
2011-02-23,-0.001197996646419952,0,0,0,-1.0,1.0,0,0,0,0
2011-02-24,0.0011684354175310885,0,0,0,-1.0,1.0,0,0,0,0
2011-02-25,0.0014972643596612434,0,0,0,-1.0,1.0,0,0,0,0
2011-02-28,-0.0008823094976355694,0,0,0,-1.0,1.0,0,0,0,0
2011-03-01,-0.002418343795064004,0,0,0,-1.0,1.0,0,0,0,0
2011-03-02,-0.0016955268494649456,0,0,0,-1.0,1.0,0,0,0,0
2011-03-03,0.0007699472399693708,0,0,0,-1.0,1.0,0,0,0,0
2011-03-04,-0.0034571244947184665,0,0,0,-1.0,1.0,0,0,0,0
2011-03-07,0.0009997851263392477,0,0,0,-1.0,1.0,0,0,0,0
2011-03-08,-0.0010565457659943434,0,0,0,-1.0,1.0,0,0,0,0
2011-03-09,-0.0053595657631216875,0,0,0,-1.0,1.0,0,0,0,0
2011-03-10,-0.001853220648164955,0,0,0,-1.0,1.0,0,0,0,0
2011-03-11,-0.0011982685057096987,0,0,0,-1.0,1.0,0,0,0,0
2011-03-14,0.006976796535439589,0,0,0,-1.0,1.0,0,0,0,0
2011-03-15,-0.0009863879257701047,0,0,0,-1.0,1.0,0,0,0,0
2011-03-16,0.0,0,0,0,0.0,0.0,0,0,0,0
2011-03-17,-0.005665565951387563,0,0,0,-1.0,1.0,0,0,0,0
2011-03-18,-0.0,0,0,0,0.0,0.0,0,0,0,0
2011-03-21,0.012605421082410029,0,0,0,-1.0,1.0,0,0,0,0
2011-03-22,0.003405412987992573,0,0,0,-1.0,1.0,0,0,0,0
2011-03-23,0.00645857910977532,0,0,0,-1.0,1.0,0,0,0,0
2011-03-24,0.002833605669542605,0,0,0,-1.0,1.0,0,0,0,0
2011-03-25,0.002566974481758244,0,0,0,-1.0,1.0,0,0,0,0
2011-03-28,0.008853947665343753,0,0,0,-1.0,1.0,0,0,0,0
2011-03-29,-0.003281819691607568,0,0,0,-1.0,1.0,0,0,0,0
2011-03-30,0.0009693551999989669,0,0,0,-1.0,1.0,0,0,0,0
2011-03-31,-0.00014708001986474262,0,0,0,-1.0,1.0,0,0,0,0
2011-04-01,-0.00041839959120970605,0,0,0,-1.0,1.0,0,0,0,0
2011-04-04,-0.0010396592351685774,0,0,0,-1.0,1.0,0,0,0,0
2011-04-05,0.0007445798634508893,0,0,0,-1.0,1.0,0,0,0,0
2011-04-06,-0.007559948904210745,0,0,0,-1.0,1.0,0,0,0,0
2011-04-07,0.007408154616294627,0,0,0,-1.0,1.0,0,0,0,0
2011-04-08,0.0014105202139249595,0,0,0,-1.0,1.0,0,0,0,0
2011-04-11,0.006788501609559794,0,0,0,-1.0,1.0,0,0,0,0
2011-04-12,-0.005790316942015705,0,0,0,-1.0,1.0,0,0,0,0
2011-04-13,0.0013281160907996359,0,0,0,-1.0,1.0,0,0,0,0
2011-04-14,0.004992685880592873,0,0,0,-1.0,1.0,0,0,0,0
